ID,gardian_gender_T1,gardian_age_T1,prefecture_T1,area_T1,married_T1,familyincome_T1,pinincome_T1,job_T1,child_gender_T1,hsc1_T1,hsc2_T1,hsc3_T1,hsc4_T1,hsc5_T1,hsc6_T1,hsc7_T1,hsc8_T1,hsc9_T1,hsc10_T1,hsc11_T1,hsc12_T1,health1_T1,health2_T1,health3_T1,health4_T1,health5_T1,panas1_T1,panas2_T1,panas3_T1,panas4_T1,panas5_T1,panas6_T1,panas7_T1,panas8_T1,panas9_T1,panas10_T1,panas11_T1,panas12_T1,panas13_T1,panas14_T1,panas15_T1,panas16_T1
1682549,0,55,23,4,2,4,1,6,1,5,3,5,3,6,5,6,4,5,6,5,5,3,2,4,3,1,3,4,2,5,3,3,4,5,2,3,5,2,2,2,3,1
1741835,0,59,47,8,2,2,2,5,1,5,4,5,4,4,4,5,4,3,4,4,4,4,4,4,5,4,3,5,3,3,3,3,3,3,3,4,2,4,4,3,3,3
1758640,1,48,1,1,1,2,1,9,1,5,3,6,5,7,6,2,3,5,6,3,5,2,2,2,1,4,4,3,4,5,2,4,3,2,2,3,2,2,2,1,5,5
1803742,0,41,16,4,2,3,3,4,0,4,4,4,4,4,4,5,4,4,4,5,4,5,5,5,5,5,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3
1844215,1,42,15,4,2,5,1,8,1,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
1855168,0,55,14,3,2,3,3,4,0,4,5,5,5,4,5,5,5,5,4,4,5,5,4,4,5,5,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3
1883489,1,43,23,4,2,3,1,9,1,5,1,7,1,7,1,5,1,1,7,4,1,5,5,4,5,5,1,5,1,3,1,1,1,4,1,4,1,4,1,1,1,3
1994187,0,40,26,5,2,1,1,3,0,4,3,4,4,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,2,2,2,3,5,3,3,3,3,2,2,2
1995829,1,43,40,8,2,.,.,8,1,4,3,6,5,5,5,6,4,4,6,5,5,4,4,2,3,2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3
2005277,0,49,12,3,2,4,4,3,0,4,5,1,4,5,4,6,4,4,7,6,5,4,4,5,6,5,2,4,1,4,3,2,3,3,3,3,3,3,2,3,3,3
2112942,1,38,4,2,2,4,1,8,1,5,4,4,3,6,6,7,6,6,5,5,4,2,3,3,2,3,2,2,2,4,4,3,4,4,4,3,4,3,3,3,4,3
2311715,1,48,11,3,2,2,1,9,1,5,5,5,5,5,6,6,6,5,5,4,4,2,2,2,3,2,1,3,2,1,3,3,3,3,3,3,3,3,3,2,3,2
2445232,0,45,11,3,2,4,4,3,1,4,5,3,3,4,4,3,4,4,4,4,4,2,2,3,3,3,4,3,4,3,3,4,3,4,2,3,3,4,4,3,3,3
2583479,1,43,22,4,1,2,1,9,1,2,2,6,3,5,5,4,6,6,5,6,6,5,5,4,3,2,3,3,4,4,2,4,3,4,3,3,3,4,2,4,3,4
2589676,1,45,40,8,2,4,1,8,1,3,5,7,7,7,7,7,6,6,7,6,7,2,2,2,2,3,4,2,4,3,4,2,4,3,5,3,5,4,3,3,5,2
2612759,1,40,1,1,2,2,1,8,1,3,4,7,5,6,5,2,3,4,6,2,5,4,4,3,3,4,2,3,1,3,2,2,3,3,2,2,2,4,2,2,3,2
